function,h,forward,backward,central,exact,err_forward,err_backward,err_central
exp,0.1,2.858841954873883,2.5867871730209524,2.7228145639474177,2.718281828459045,0.14056012641483795,0.1314946554380927,0.00453273548837263
exp,0.01,2.7319186557871245,2.704735610978304,2.718327133382714,2.718281828459045,0.01363682732807936,0.013546217480741252,4.530492366905392e-05
exp,0.001,2.7196414225332255,2.7169231404782224,2.718282281505724,2.718281828459045,0.0013595940741804036,0.001358687980822726,4.53046678838831e-07
exp,0.0001,2.718417747082924,2.7181459188962975,2.718281832989611,2.718281828459045,0.00013591862387896114,0.00013590956274756039,4.53056570037802e-09
exp,1e-05,2.7182954199567173,2.7182682370785467,2.718281828517632,2.718281828459045,1.3591497672216235e-05,1.3591380498390038e-05,5.858691309867936e-11
exp,1e-06,2.7182831874306146,2.718280469160561,2.718281828295588,2.718281828459045,1.3589715694983795e-06,1.3592984839938538e-06,1.634572477371421e-10
exp,1e-07,2.7182819684057336,2.7182816886295313,2.7182818285176324,2.718281828459045,1.3994668845995761e-07,1.3982951374558183e-07,5.858735718788921e-11
exp,1e-08,2.7182818218562943,2.7182818218562943,2.7182818218562943,2.718281828459045,6.60275079056305e-09,6.60275079056305e-09,6.60275079056305e-09
exp,1e-09,2.7182820439008992,2.7182815998116894,2.7182818218562943,2.718281828459045,2.1544185413446826e-07,2.2864735571559436e-07,6.60275079056305e-09
exp,1e-10,2.7182833761685288,2.7182789352764303,2.7182811557224795,2.718281828459045,1.5477094836846561e-06,2.89318261481597e-06,6.72736565565657e-07
exp,1e-11,2.7183144624132183,2.7182700534922333,2.7182922579527258,2.718281828459045,3.263395417318904e-05,1.1774966811817222e-05,1.0429493680685908e-05
