# log10(h)  log10(err_D)  log10(err_R)
-1 -3.04573 -6.94873
-2 -5.04552 -10.9478
-3 -7.04551 -13.4508
-4 -9.04555 -11.97
-5 -10.9531 -10.9561
-6 -10.5573 -10.5573
-7 -9.71147 -9.02943
-8 -8.58817 -8.31693
-9 -8.52726 -7.1136
-10 -7.23298 -5.84716
