# log10(h)  err_forward  err_backward  err_central
-1 -1.36715 -1.38575 -3.04573
-2 -2.37507 -2.37692 -5.04552
-3 -3.3759 -3.37608 -7.04551
-4 -4.37598 -4.376 -9.04555
-5 -5.37599 -5.37599 -10.9531
-6 -6.37598 -6.37592 -10.5573
-7 -7.37854 -7.38259 -9.71147
-8 -8.52726 -8.08978 -8.58817
