# log10(h)  log10(err_D)  log10(err_R)
-1 -2.85333 -6.75633
-2 -4.85311 -10.7559
-3 -6.85311 -12.9456
-4 -8.85309 -11.8143
-5 -10.964 -11.4606
-6 -10.5604 -9.91897
-7 -9.51492 -8.93006
-8 -8.51926 -7.7489
-9 -7.71717 -7.71717
-10 -6.69279 -6.02548
