# log10(h)  log10(err_D)  log10(err_R)
-1 -2.34364 -6.24682
-2 -4.34385 -10.2465
-3 -6.34386 -12.3954
-4 -8.34385 -12.0676
-5 -10.2322 -10.2322
-6 -9.7866 -9.87745
-7 -10.2322 -8.5373
-8 -8.18028 -8.18028
-9 -8.18028 -6.53842
-10 -6.17215 -5.64057
