# log10(h)  err_forward  err_backward  err_central
-1 -0.852138 -0.881092 -2.34364
-2 -1.86529 -1.86818 -4.34385
-3 -2.86659 -2.86688 -6.34386
-4 -3.86672 -3.86675 -8.34385
-5 -4.86673 -4.86674 -10.2322
-6 -5.86679 -5.86669 -9.7866
-7 -6.85404 -6.8544 -10.2322
-8 -8.18028 -8.18028 -8.18028
